Gene_ID,Tau,Maximum_Tissue,Maximum_Median_TPM,Maximum_Tissue_Group,Tissues_with_Median_TPM_ge_5,Number_of_Tissues_with_Median_TPM_ge_5,Full_Gene_ID,Chromosome,Sequence_ID,Start,End,Strand,Gene_Length_bp,Description,Description_full,GO,InterPro,Pfam,PANTHER,Gene3D,Prosite,Superfamily,SMART,Dbxref_raw,Gene3D_IPRscan,PANTHER_IPRscan,Pfam_IPRscan,Prosite_IPRscan,Superfamily_IPRscan,SMART_IPRscan,PRINTS_IPRscan,Coils_IPRscan,TIGRFAM_IPRscan,Hamap_IPRscan,PIRSF_IPRscan,IPRscan_domain_descriptions,IPRscan_protein_isoforms,IPRscan_databases,IPRscan_unique_signatures,IPRscan_total_matches,Pfam_combined,PANTHER_combined,Gene3D_combined,Prosite_combined,Superfamily_combined,SMART_combined,TF_Family,TF_Mapping_Status,TF_Family_Conflict,Any_Ambiguous_Mapping,Number_of_supporting_NCBI_genes,Number_of_supporting_TF_proteins,Supporting_NCBI_genes,Supporting_PlantTFDB_Proteins,Maximum_Percent_Identity,Maximum_Query_Coverage,Maximum_Bitscore,Number_of_Tissues_TPM_ge_1,Number_of_Tissues_TPM_ge_5,Minimum_Median_TPM,Maximum_Median_TPM_Recalculated,Mean_Median_TPM,Median_Median_TPM,SD_Median_TPM,CV_Median_TPM,Maximum_Tissue_Recalculated,Expression_Class,Housekeeping_Stability_Score
Ca_08210,0.25656388580205525,SAM,72.601771,Leaf/Shoot/SAM,SAM;Root tip;Flower bud 2;Flower bud 3;Pod Shell;Gynoecium;Androecium;Seed 10 dap;Root Hair;Germinating Seedling;Flower 1;Flower bud 4;Flower 2;Seed Coat;Petal;Flower bud 1;Flower 3;Embryo;Root;Flower 4;Seed 5 dap;Flower 5;Sepal;Young leaf;Pedicel;Endosperm;Nodule;Shoot;Mature leaf;Bracteole;Seed 20 dap;Seed 30 dap,32,cicar.CDCFrontier.gnm2.ann1.Ca_08210,chr03,cicar.CDCFrontier.gnm2.chr03,75192531,75195361,-,2831,trafficking protein particle complex subunit-like protein,"trafficking protein particle complex subunit-like protein; IPR007194 (Transport protein particle (TRAPP) component), IPR024096 (NO signalling/Golgi transport  ligand-binding domain)",NA,IPR007194;IPR024096,PF04051,PTHR12817,G3DSA:3.30.1380.20,NA,SSF111126,NA,"Gene3D:G3DSA:3.30.1380.20,InterPro:IPR007194,InterPro:IPR024096,PANTHER:PTHR12817,Pfam:PF04051,Superfamily:SSF111126",G3DSA:3.30.1380.20,PTHR12817,PF04051,NA,SSF111126,NA,NA,NA,NA,NA,NA,Transport protein particle (TRAPP) component,1,4,4,4,PF04051,PTHR12817,G3DSA:3.30.1380.20,NA,SSF111126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,32,13.576636,72.601771,54.55687203125,59.984834500000005,14.658978829228518,0.2686917025014173,SAM,Ubiquitous,0.5252555883034725
Ca_07978,0.26820634132690235,Root Hair,41.227705,Root/Nodule,Root Hair;Root;Germinating Seedling;Nodule;Flower 3;Flower 2;Flower 4;Petal;Root tip;Seed 5 dap;Flower 1;Flower 5;Gynoecium;Embryo;Flower bud 1;Seed 10 dap;Flower bud 2;Sepal;Mature leaf;Flower bud 3;Flower bud 4;Endosperm;Androecium;Pedicel;SAM;Bracteole;Seed Coat;Shoot;Pod Shell;Young leaf;Seed 20 dap;Seed 30 dap,32,cicar.CDCFrontier.gnm2.ann1.Ca_07978,chr03,cicar.CDCFrontier.gnm2.chr03,73282519,73285504,-,2986,epoxide hydrolase,"epoxide hydrolase; IPR000073 (Alpha/beta hydrolase fold-1), IPR000639 (Epoxide hydrolase-like); GO:0003824 (catalytic activity)",GO:0003824,IPR000073;IPR000639,PF12697,PTHR10992;PTHR10992:SF279,G3DSA:3.40.50.1820,NA,SSF53474,NA,"Gene3D:G3DSA:3.40.50.1820,InterPro:IPR000073,InterPro:IPR000639,PANTHER:PTHR10992,PANTHER:PTHR10992:SF279,PRINTS:PR00111,PRINTS:PR00412,Pfam:PF12697,Superfamily:SSF53474",G3DSA:3.40.50.1820,PTHR10992;PTHR10992:SF279,PF12697,NA,SSF53474,NA,PR00111;PR00412,NA,NA,NA,NA,Alpha/beta hydrolase family;Alpha/beta hydrolase fold signature;Epoxide hydrolase signature,1,5,7,14,PF12697,PTHR10992;PTHR10992:SF279,G3DSA:3.40.50.1820,NA,SSF53474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,32,9.9985805,41.227705,30.515720953125,30.9751015,7.85360561388539,0.25736261076542355,Root Hair,Ubiquitous,0.5255689520923259
Ca_09527,0.29641579851605454,Seed 10 dap,38.980325,Seed/Pod,Seed 10 dap;Seed Coat;Petal;Root;Gynoecium;Pod Shell;Seed 5 dap;Root Hair;SAM;Flower 1;Germinating Seedling;Shoot;Flower bud 1;Flower 3;Flower bud 3;Flower bud 2;Flower 2;Flower bud 4;Embryo;Young leaf;Sepal;Flower 5;Mature leaf;Flower 4;Root tip;Pedicel;Seed 20 dap;Nodule;Androecium;Bracteole;Endosperm;Seed 30 dap,32,cicar.CDCFrontier.gnm2.ann1.Ca_09527,chr04,cicar.CDCFrontier.gnm2.chr04,11459198,11468219,+,9022,protein FAM188A-like isoform 1 [Glycine max],"protein FAM188A-like isoform 1 [Glycine max]; IPR003903 (Ubiquitin interacting motif), IPR025257 (Domain of unknown function DUF4205)",NA,IPR003903;IPR025257,PF13898,PTHR12473;PTHR12473:SF4,NA,PS50330,NA,NA,"InterPro:IPR003903,InterPro:IPR025257,PANTHER:PTHR12473,PANTHER:PTHR12473:SF4,Pfam:PF13898,Prosite:PS50330",NA,PTHR12473;PTHR12473:SF4,PF13898,PS50330,NA,NA,NA,NA,NA,NA,NA,Domain of unknown function (DUF4205);Ubiquitin-interacting motif (UIM) repeat profile.,1,3,4,4,PF13898,PTHR12473;PTHR12473:SF4,NA,PS50330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,32,10.3216675,38.980325,27.78701534375,30.0424335,6.431964195027044,0.23147373388102135,Seed 10 dap,Ubiquitous,0.5278895323970759
Ca_08152,0.28854787215694205,Flower bud 1,85.203816,Flower organs,Flower bud 1;Flower 2;Pod Shell;Flower 5;Flower 1;Flower bud 4;Flower 3;Seed Coat;Flower bud 3;Flower bud 2;Flower 4;SAM;Shoot;Petal;Root Hair;Seed 5 dap;Root;Gynoecium;Germinating Seedling;Seed 10 dap;Sepal;Androecium;Mature leaf;Young leaf;Seed 20 dap;Pedicel;Endosperm;Root tip;Nodule;Bracteole;Embryo;Seed 30 dap,32,cicar.CDCFrontier.gnm2.ann1.Ca_08152,chr03,cicar.CDCFrontier.gnm2.chr03,74752609,74757760,-,5152,"DNA-binding protein, putative","DNA-binding protein, putative; IPR013083 (Zinc finger, RING/FYVE/PHD-type); GO:0005515 (protein binding), GO:0008270 (zinc ion binding)","GO:0005515,GO:0008270",IPR001841;IPR013083,PF13639,PTHR22937;PTHR22937:SF17,G3DSA:3.30.40.10,PS50089,SSF57850,SM00184,"Gene3D:G3DSA:3.30.40.10,InterPro:IPR001841,InterPro:IPR013083,PANTHER:PTHR22937,PANTHER:PTHR22937:SF17,Pfam:PF13639,Prosite:PS50089,SMART:SM00184,Superfamily:SSF57850",G3DSA:3.30.40.10,PTHR22937;PTHR22937:SF17,PF13639,PS50089,SSF57850,SM00184,NA,NA,NA,NA,NA,Ring finger;Ring finger domain;Zinc finger RING-type profile.,1,6,7,7,PF13639,PTHR22937;PTHR22937:SF17,G3DSA:3.30.40.10,PS50089,SSF57850,SM00184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,32,30.342921500000003,85.203816,61.3867293125,61.011987500000004,14.718101453580356,0.23976031331878359,Flower bud 1,Ubiquitous,0.5283081854757257
Ca_08971,0.298869452371192,Flower 2,55.59802,Flower organs,Flower 2;Pod Shell;Flower 1;Gynoecium;Flower 3;Seed 5 dap;Petal;SAM;Flower bud 4;Pedicel;Root tip;Sepal;Androecium;Flower bud 2;Flower bud 3;Flower bud 1;Shoot;Seed 10 dap;Flower 5;Nodule;Germinating Seedling;Root;Flower 4;Embryo;Root Hair;Young leaf;Mature leaf;Seed Coat;Seed 20 dap;Bracteole;Endosperm;Seed 30 dap,32,cicar.CDCFrontier.gnm2.ann1.Ca_08971,chr04,cicar.CDCFrontier.gnm2.chr04,5688566,5695448,+,6883,uncharacterized protein LOC100789014 isoform X1 [Glycine max],"uncharacterized protein LOC100789014 isoform X1 [Glycine max]; IPR013083 (Zinc finger, RING/FYVE/PHD-type); GO:0005515 (protein binding), GO:0008270 (zinc ion binding)","GO:0005515,GO:0008270",IPR001841;IPR013083,PF13639,PTHR22937;PTHR22937:SF17,G3DSA:3.30.40.10,PS50089,SSF57850,SM00184,"Gene3D:G3DSA:3.30.40.10,InterPro:IPR001841,InterPro:IPR013083,PANTHER:PTHR22937,PANTHER:PTHR22937:SF17,Pfam:PF13639,Prosite:PS50089,SMART:SM00184,Superfamily:SSF57850",G3DSA:3.30.40.10,PTHR22937;PTHR22937:SF17,PF13639,PS50089,SSF57850,SM00184,NA,NA,NA,NA,NA,Ring finger;Ring finger domain;Zinc finger RING-type profile.,1,6,7,7,PF13639,PTHR22937;PTHR22937:SF17,G3DSA:3.30.40.10,PS50089,SSF57850,SM00184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,32,18.9742765,55.59802,39.500737390625,39.9089265,9.065247826420348,0.2294956607208014,Flower 2,Ubiquitous,0.5283651130919934
Ca_01565,0.2896630688302165,Flower 2,74.886281,Flower organs,Flower 2;Flower 3;Flower 1;Pedicel;Seed 5 dap;Endosperm;Shoot;Root;Root Hair;Flower 5;Seed Coat;Germinating Seedling;Flower bud 1;Flower bud 4;Petal;Flower bud 3;Flower bud 2;SAM;Flower 4;Androecium;Gynoecium;Pod Shell;Nodule;Sepal;Root tip;Seed 10 dap;Mature leaf;Bracteole;Young leaf;Embryo;Seed 20 dap;Seed 30 dap,32,cicar.CDCFrontier.gnm2.ann1.Ca_01565,chr01,cicar.CDCFrontier.gnm2.chr01,32823047,32824922,+,1876,Chaperone DnaJ-domain superfamily protein,"Chaperone DnaJ-domain superfamily protein; IPR001623 (DnaJ domain), IPR013026 (Tetratricopeptide repeat-containing domain), IPR015399 (Domain of unknown function DUF1977, DnaJ-like); GO:0005515 (protein binding)",GO:0005515,IPR001623;IPR013026;IPR015399;IPR018253;IPR019734,PF00226;PF09320,PTHR24077;PTHR24077:SF133,G3DSA:1.10.287.110,PS00636;PS50005;PS50076;PS50293,SSF46565,SM00271,"Gene3D:G3DSA:1.10.287.110,InterPro:IPR001623,InterPro:IPR013026,InterPro:IPR015399,InterPro:IPR018253,InterPro:IPR019734,PANTHER:PTHR24077,PANTHER:PTHR24077:SF133,PRINTS:PR00625,Pfam:PF00226,Pfam:PF09320,Prosite:PS00636,Prosite:PS50005,Prosite:PS50076,Prosite:PS50293,SMART:SM00271,Superfamily:SSF46565",G3DSA:1.10.287.110,PTHR24077;PTHR24077:SF133,PF00226;PF09320,PS00636;PS50005;PS50076;PS50293,SSF46565,SM00271,PR00625,NA,NA,NA,NA,DnaJ domain;dnaJ domain profile.;DnaJ domain signature;DnaJ molecular chaperone homology domain;Domain of unknown function (DUF1977);Nt-dnaJ domain signature.;TPR repeat profile.;TPR repeat region circular profile.,1,8,12,14,PF00226;PF09320,PTHR24077;PTHR24077:SF133,G3DSA:1.10.287.110,PS00636;PS50005;PS50076;PS50293,SSF46565,SM00271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,32,22.040110499999997,74.886281,53.87235946875,55.911932,12.900944206262704,0.23947241838825006,Flower 2,Ubiquitous,0.5291354872184666
Ca_14709,0.29305839173581255,Gynoecium,31.226925,Flower organs,Gynoecium;SAM;Root;Flower 5;Seed 5 dap;Flower bud 1;Flower bud 2;Flower 3;Pedicel;Seed Coat;Flower 2;Shoot;Pod Shell;Root Hair;Flower bud 3;Flower 1;Petal;Seed 10 dap;Flower bud 4;Nodule;Sepal;Germinating Seedling;Flower 4;Embryo;Endosperm;Seed 20 dap;Mature leaf;Young leaf;Androecium;Root tip;Seed 30 dap;Bracteole,32,cicar.CDCFrontier.gnm2.ann1.Ca_14709,chr05,cicar.CDCFrontier.gnm2.chr05,71819978,71826764,-,6787,GATA transcription factor 3,"GATA transcription factor 3; IPR010399 (Tify), IPR010402 (CCT domain), IPR013088 (Zinc finger, NHR/GATA-type); GO:0003700 (sequence-specific DNA binding transcription factor activity), GO:0005515 (protein binding), GO:0008270 (zinc ion binding), GO:0043565 (sequence-specific DNA binding)","GO:0003700,GO:0005515,GO:0006355,GO:0008270,GO:0043565",IPR000679;IPR010399;IPR010402;IPR013088,PF00320;PF06200;PF06203,PTHR10071;PTHR10071:SF133,G3DSA:3.30.50.10,PS00344;PS51017;PS51320,SSF57716,SM00401;SM00979,"Gene3D:G3DSA:3.30.50.10,InterPro:IPR000679,InterPro:IPR010399,InterPro:IPR010402,InterPro:IPR013088,PANTHER:PTHR10071,PANTHER:PTHR10071:SF133,Pfam:PF00320,Pfam:PF06200,Pfam:PF06203,Prosite:PS00344,Prosite:PS51017,Prosite:PS51320,SMART:SM00401,SMART:SM00979,Superfamily:SSF57716",G3DSA:3.30.50.10,PTHR10071;PTHR10071:SF133,PF00320;PF06200;PF06203,PS00344;PS51017;PS51320,SSF57716,SM00401;SM00979,NA,NA,NA,NA,NA,CCT domain profile.;CCT motif;GATA-type zinc finger domain.;GATA zinc finger;tify domain;Tify domain profile.;zinc finger binding to DNA consensus sequence [AT]GATA[AG],1,7,12,12,PF00320;PF06200;PF06203,PTHR10071;PTHR10071:SF133,G3DSA:3.30.50.10,PS00344;PS51017;PS51320,SSF57716,SM00401;SM00979,GATA,High_confidence,FALSE,FALSE,1,1,LOC101489527,XP_004501662.1,100,100,721,32,32,12.418837,31.226925,22.36159109375,22.1827665,5.299314373701012,0.23698288513924912,Gynoecium,Ubiquitous,0.5300412768750616
Ca_00802,0.2852443732008945,Seed Coat,30.663738,Seed/Pod,Seed Coat;Flower bud 1;Root Hair;Flower bud 2;Pedicel;Seed 5 dap;Flower bud 3;Seed 30 dap;Androecium;SAM;Seed 10 dap;Seed 20 dap;Germinating Seedling;Flower 2;Flower bud 4;Root;Shoot;Flower 1;Pod Shell;Flower 5;Root tip;Flower 3;Gynoecium;Petal;Flower 4;Embryo;Endosperm;Sepal;Mature leaf;Young leaf;Bracteole;Nodule,32,cicar.CDCFrontier.gnm2.ann1.Ca_00802,chr01,cicar.CDCFrontier.gnm2.chr01,6913736,6917492,+,3757,Sec20 family protein,Sec20 family protein; IPR005606 (Sec20),NA,IPR005606,PF03908,PTHR12825;PTHR12825:SF0,NA,NA,NA,NA,"Coils:Coil,InterPro:IPR005606,PANTHER:PTHR12825,PANTHER:PTHR12825:SF0,Pfam:PF03908",NA,PTHR12825;PTHR12825:SF0,PF03908,NA,NA,NA,NA,Coil,NA,NA,NA,Sec20,1,3,4,4,PF03908,PTHR12825;PTHR12825:SF0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,32,9.810038,30.663738,22.190412359375,22.879547000000002,5.451429372942411,0.24566597883158728,Seed Coat,Ubiquitous,0.5309103520324818
Ca_18458,0.27695815267810303,Flower 2,81.562924,Flower organs,Flower 2;Flower 1;Root tip;Flower 3;Flower bud 1;Endosperm;Flower bud 2;Seed 5 dap;Flower 4;Flower 5;Flower bud 4;Embryo;Seed 10 dap;Petal;Flower bud 3;Pod Shell;Gynoecium;Sepal;SAM;Androecium;Root Hair;Young leaf;Pedicel;Nodule;Mature leaf;Germinating Seedling;Shoot;Bracteole;Root;Seed Coat;Seed 20 dap;Seed 30 dap,32,cicar.CDCFrontier.gnm2.ann1.Ca_18458,chr06,cicar.CDCFrontier.gnm2.chr06,48750537,48755276,+,4740,unknown protein,unknown protein; Has 48 Blast hits to 48 proteins in 16 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 48; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,32,14.817222,81.562924,59.679329640625,63.447133,15.158132455250549,0.2539930080738052,Flower 2,Ubiquitous,0.5309511607519082
Ca_13984,0.28979966142793173,Gynoecium,15.537341,Flower organs,Gynoecium;Pod Shell;Petal;Flower bud 2;Flower bud 1;Flower 2;Flower 3;Seed 10 dap;Seed 5 dap;SAM;Sepal;Androecium;Flower 1;Flower bud 3;Flower bud 4;Flower 4;Root;Root tip;Flower 5;Germinating Seedling;Nodule;Seed Coat;Pedicel;Root Hair;Shoot;Mature leaf;Endosperm;Embryo;Bracteole;Young leaf;Seed 30 dap;Seed 20 dap,32,cicar.CDCFrontier.gnm2.ann1.Ca_13984,chr05,cicar.CDCFrontier.gnm2.chr05,64809101,64822605,+,13505,transcription initiation factor TFIID subunit 7-like [Glycine max],"transcription initiation factor TFIID subunit 7-like [Glycine max]; IPR000195 (Rab-GTPase-TBC domain), IPR006153 (Cation/H+ exchanger), IPR006751 (TAFII55 protein, conserved region); GO:0005097 (Rab GTPase activator activity), GO:0005669 (transcription factor TFIID complex), GO:0006367 (transcription initiation from RNA polymerase II promoter), GO:0006812 (cation transport), GO:0015299 (solute:hydrogen antiporter activity), GO:0016021 (integral component of membrane), GO:0032313 (regulation of Rab GTPase activity), GO:0055085 (transmembrane transport)","GO:0005097,GO:0005669,GO:0006367,GO:0006812,GO:0015299,GO:0016021,GO:0032313,GO:0055085",IPR000195;IPR006153;IPR006751,PF00566;PF00999;PF04658,PTHR32468;PTHR32468:SF0,G3DSA:1.10.8.270,PS50086,SSF47923,SM00164,"Gene3D:G3DSA:1.10.8.270,InterPro:IPR000195,InterPro:IPR006153,InterPro:IPR006751,PANTHER:PTHR32468,PANTHER:PTHR32468:SF0,Pfam:PF00566,Pfam:PF00999,Pfam:PF04658,Prosite:PS50086,SMART:SM00164,Superfamily:SSF47923",G3DSA:1.10.8.270,PTHR32468;PTHR32468:SF0,PF00566;PF00999;PF04658,PS50086,SSF47923,SM00164,NA,NA,NA,NA,NA,"Domain in Tre-2, BUB2p, and Cdc16p. Probable Rab-GAPs.;Rab-GTPase-TBC domain;Sodium/hydrogen exchanger family;TAFII55 protein conserved region;TBC/rab GAP domain profile.",1,6,9,12,PF00566;PF00999;PF04658,PTHR32468;PTHR32468:SF0,G3DSA:1.10.8.270,PS50086,SSF47923,SM00164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,32,6.517135,15.537341,11.17533471875,11.164030499999999,2.7187844697576113,0.24328438817998257,Gynoecium,Ubiquitous,0.5330840496079143
Ca_19560,0.3337605173441286,Seed 5 dap,51.801227,Seed/Pod,Seed 5 dap;Gynoecium;Flower 3;Seed 10 dap;Endosperm;Root;Germinating Seedling;Root tip;Flower 5;Seed Coat;Mature leaf;Flower 4;Embryo;Flower 1;Flower 2;Pod Shell;Root Hair;Pedicel;SAM;Nodule;Flower bud 3;Flower bud 1;Flower bud 4;Sepal;Flower bud 2;Bracteole;Petal;Shoot;Young leaf;Seed 20 dap;Androecium;Seed 30 dap,32,cicar.CDCFrontier.gnm2.ann1.Ca_19560,chr07,cicar.CDCFrontier.gnm2.chr07,1357788,1360302,-,2515,protein RTF2 homolog [Glycine max],"protein RTF2 homolog [Glycine max]; IPR000626 (Ubiquitin domain), IPR006735 (Protein of unknown function DUF602), IPR013083 (Zinc finger, RING/FYVE/PHD-type), IPR027799 (Replication termination factor 2, RING-finger); GO:0005515 (protein binding)",GO:0005515,IPR000626;IPR006735;IPR013083;IPR027799,PF04641,PTHR12775,G3DSA:3.30.40.10,PS50053,SSF54236,SM00213,"Coils:Coil,Gene3D:G3DSA:3.30.40.10,InterPro:IPR000626,InterPro:IPR006735,InterPro:IPR013083,InterPro:IPR027799,PANTHER:PTHR12775,Pfam:PF04641,Prosite:PS50053,SMART:SM00213,Superfamily:SSF54236",G3DSA:3.30.40.10,PTHR12775,PF04641,PS50053,SSF54236,SM00213,NA,Coil,NA,NA,NA,Rtf2 RING-finger;Ubiquitin domain profile.;Ubiquitin homologues,1,7,7,7,PF04641,PTHR12775,G3DSA:3.30.40.10,PS50053,SSF54236,SM00213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,32,18.339141,51.801227,35.0523103125,36.00077,7.050150445485435,0.20113226154372146,Seed 5 dap,Ubiquitous,0.53489277888785
Ca_02689,0.32311521130502713,Seed 5 dap,119.579336,Seed/Pod,Seed 5 dap;Flower 3;Pod Shell;Flower 2;Flower 5;Flower 1;Root;Germinating Seedling;Flower bud 4;Petal;SAM;Flower bud 2;Flower bud 3;Gynoecium;Seed Coat;Flower 4;Flower bud 1;Seed 10 dap;Shoot;Seed 30 dap;Root Hair;Androecium;Mature leaf;Sepal;Nodule;Embryo;Seed 20 dap;Root tip;Endosperm;Bracteole;Pedicel;Young leaf,32,cicar.CDCFrontier.gnm2.ann1.Ca_02689,chr01,cicar.CDCFrontier.gnm2.chr01,52405595,52410695,-,5101,Protein kinase superfamily protein,"Protein kinase superfamily protein; IPR011009 (Protein kinase-like domain); GO:0004672 (protein kinase activity), GO:0004674 (protein serine/threonine kinase activity), GO:0005524 (ATP binding), GO:0006468 (protein phosphorylation)","GO:0004672,GO:0004674,GO:0005524,GO:0006468,GO:0016772",IPR000719;IPR002290;IPR008271;IPR011009;IPR017441,PF00069,PTHR11909;PTHR11909:SF69,G3DSA:1.10.510.10;G3DSA:3.30.200.20,PS00107;PS00108;PS50011,SSF56112,SM00220,"Gene3D:G3DSA:1.10.510.10,Gene3D:G3DSA:3.30.200.20,InterPro:IPR000719,InterPro:IPR002290,InterPro:IPR008271,InterPro:IPR011009,InterPro:IPR017441,PANTHER:PTHR11909,PANTHER:PTHR11909:SF69,Pfam:PF00069,Prosite:PS00107,Prosite:PS00108,Prosite:PS50011,SMART:SM00220,Superfamily:SSF56112",G3DSA:1.10.510.10;G3DSA:3.30.200.20,PTHR11909;PTHR11909:SF69,PF00069,PS00107;PS00108;PS50011,SSF56112,SM00220,NA,NA,NA,NA,NA,"Protein kinase domain;Protein kinase domain profile.;Protein kinases ATP-binding region signature.;Serine/Threonine protein kinases active-site signature.;Serine/Threonine protein kinases, catalytic domain",1,7,10,10,PF00069,PTHR11909;PTHR11909:SF69,G3DSA:1.10.510.10;G3DSA:3.30.200.20,PS00107;PS00108;PS50011,SSF56112,SM00220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,32,49.33141,119.579336,82.14886803125,83.54570000000001,17.414271437335177,0.21198431402257017,Seed 5 dap,Ubiquitous,0.5350995253275973
Ca_14701,0.30903485806113756,Seed 5 dap,14.617885,Seed/Pod,Seed 5 dap;Pod Shell;Gynoecium;Seed 10 dap;Seed Coat;Petal;Flower bud 1;Flower bud 2;SAM;Germinating Seedling;Flower bud 3;Flower 5;Flower 3;Pedicel;Flower 2;Flower 1;Flower bud 4;Shoot;Androecium;Root Hair;Mature leaf;Root tip;Endosperm;Embryo;Sepal;Seed 20 dap;Root;Flower 4;Young leaf;Bracteole;Nodule,31,cicar.CDCFrontier.gnm2.ann1.Ca_14701,chr05,cicar.CDCFrontier.gnm2.chr05,71691239,71694209,+,2971,Pentatricopeptide repeat (PPR) superfamily protein,"Pentatricopeptide repeat (PPR) superfamily protein; IPR002885 (Pentatricopeptide repeat), IPR011990 (Tetratricopeptide-like helical); GO:0005515 (protein binding)",GO:0005515,IPR002885;IPR011990,PF01535,PTHR24015;PTHR24015:SF27,G3DSA:1.25.40.10,PS51375,SSF48452,NA,"Gene3D:G3DSA:1.25.40.10,InterPro:IPR002885,InterPro:IPR011990,PANTHER:PTHR24015,PANTHER:PTHR24015:SF27,Pfam:PF01535,Prosite:PS51375,Superfamily:SSF48452",G3DSA:1.25.40.10,PTHR24015;PTHR24015:SF27,PF01535,PS51375,SSF48452,NA,NA,NA,NA,NA,NA,Pentatricopeptide (PPR) repeat profile.;PPR repeat,1,5,6,13,PF01535,PTHR24015;PTHR24015:SF27,G3DSA:1.25.40.10,PS51375,SSF48452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,31,4.0923940000000005,14.617885,10.241618859375,10.019200000000001,2.320836740413581,0.2266083880175962,Seed 5 dap,Ubiquitous,0.5356432460787337
Ca_17914,0.3055333571304689,Pod Shell,54.190854,Seed/Pod,Pod Shell;Flower 3;Flower 2;Seed 5 dap;Flower bud 3;Flower bud 2;Flower 1;Root;Flower bud 1;Root Hair;Seed Coat;Flower bud 4;Petal;Flower 5;Flower 4;Gynoecium;Root tip;Endosperm;SAM;Embryo;Androecium;Germinating Seedling;Shoot;Seed 10 dap;Pedicel;Mature leaf;Young leaf;Nodule;Sepal;Seed 20 dap;Bracteole;Seed 30 dap,32,cicar.CDCFrontier.gnm2.ann1.Ca_17914,chr06,cicar.CDCFrontier.gnm2.chr06,26468810,26472953,-,4144,uncharacterized protein LOC100783390 isoform X4 [Glycine max],uncharacterized protein LOC100783390 isoform X4 [Glycine max]; IPR019185 (Integral membrane protein SYS1-related),NA,IPR019185,PF09801,PTHR12952,NA,NA,NA,NA,"InterPro:IPR019185,PANTHER:PTHR12952,Pfam:PF09801",NA,PTHR12952,PF09801,NA,NA,NA,NA,NA,NA,NA,NA,Integral membrane protein S linking to the trans Golgi network,1,2,2,2,PF09801,PTHR12952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,32,16.708731999999998,54.190854,38.15115025,39.973209,8.791082107019102,0.23042770793048636,Pod Shell,Ubiquitous,0.5359610650609553
Ca_00463,0.2965786907141603,Flower 1,102.566486,Flower organs,Flower 1;Flower 2;Embryo;Flower 4;Flower bud 2;Flower 3;Flower bud 1;Flower bud 3;Root tip;Flower 5;Flower bud 4;Germinating Seedling;SAM;Seed Coat;Seed 10 dap;Pedicel;Gynoecium;Petal;Androecium;Young leaf;Root Hair;Seed 5 dap;Endosperm;Bracteole;Seed 20 dap;Mature leaf;Nodule;Sepal;Shoot;Pod Shell;Root;Seed 30 dap,32,cicar.CDCFrontier.gnm2.ann1.Ca_00463,chr01,cicar.CDCFrontier.gnm2.chr01,3597773,3600597,-,2825,26S proteasome non-ATPase regulatory subunit-like protein,"26S proteasome non-ATPase regulatory subunit-like protein; IPR000555 (JAB/MPN domain), IPR024969 (Rpn11/EIF3F C-terminal domain); GO:0005515 (protein binding)",GO:0005515,IPR000555;IPR024969,PF01398;PF13012,PTHR10410;PTHR10410:SF5,G3DSA:3.40.140.10,NA,SSF102712,SM00232,"Gene3D:G3DSA:3.40.140.10,InterPro:IPR000555,InterPro:IPR024969,PANTHER:PTHR10410,PANTHER:PTHR10410:SF5,Pfam:PF01398,Pfam:PF13012,SMART:SM00232,Superfamily:SSF102712",G3DSA:3.40.140.10,PTHR10410;PTHR10410:SF5,PF01398;PF13012,NA,SSF102712,SM00232,NA,NA,NA,NA,NA,JAB/MPN domain;JAB1/Mov34/MPN/PAD-1 ubiquitin protease;Maintenance of mitochondrial structure and function,1,5,7,7,PF01398;PF13012,PTHR10410;PTHR10410:SF5,G3DSA:3.40.140.10,NA,SSF102712,SM00232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,32,40.1862675,102.566486,73.0980466875,72.3596005,17.51351636176115,0.23958938925731946,Flower 1,Ubiquitous,0.5361680799714797
