Gene_ID,Domain_ID,Annotation_Type
Ca_00122,IPR018045,InterPro
Ca_00123,IPR001902,InterPro
Ca_00123,IPR002645,InterPro
Ca_00123,IPR011547,InterPro
Ca_00124,IPR001623,InterPro
Ca_00124,IPR018253,InterPro
Ca_00125,IPR000528,InterPro
Ca_00125,IPR016140,InterPro
Ca_00126,IPR001932,InterPro
Ca_00127,IPR001344,InterPro
Ca_00127,IPR022796,InterPro
Ca_00127,IPR023329,InterPro
Ca_00128,IPR010084,InterPro
Ca_00128,IPR013114,InterPro
Ca_00129,IPR000823,InterPro
Ca_00129,IPR002016,InterPro
Ca_00129,IPR010255,InterPro
Ca_00129,IPR019793,InterPro
Ca_00129,IPR019794,InterPro
Ca_00130,IPR000719,InterPro
Ca_00130,IPR002290,InterPro
Ca_00130,IPR011009,InterPro
Ca_00132,IPR001313,InterPro
Ca_00132,IPR011989,InterPro
Ca_00132,IPR016024,InterPro
Ca_00134,IPR003855,InterPro
Ca_00135,IPR006121,InterPro
Ca_00135,IPR017969,InterPro
Ca_00136,IPR000048,InterPro
Ca_00136,IPR002110,InterPro
Ca_00136,IPR002909,InterPro
Ca_00136,IPR005559,InterPro
Ca_00136,IPR013783,InterPro
Ca_00136,IPR014756,InterPro
Ca_00136,IPR020683,InterPro
Ca_00136,IPR027417,InterPro
Ca_00137,IPR007023,InterPro
Ca_00138,IPR000073,InterPro
Ca_00138,IPR000639,InterPro
Ca_00140,IPR011600,InterPro
Ca_00141,IPR011600,InterPro
Ca_00142,IPR011600,InterPro
Ca_00143,IPR001739,InterPro
Ca_00143,IPR007087,InterPro
Ca_00143,IPR015880,InterPro
Ca_00143,IPR016177,InterPro
Ca_00144,IPR006766,InterPro
Ca_00145,IPR002480,InterPro
Ca_00146,IPR011989,InterPro
Ca_00146,IPR015016,InterPro
Ca_00146,IPR016024,InterPro
Ca_00146,IPR021133,InterPro
Ca_00147,IPR001525,InterPro
Ca_00148,IPR001208,InterPro
Ca_00148,IPR003593,InterPro
Ca_00148,IPR012340,InterPro
Ca_00148,IPR027417,InterPro
Ca_00149,IPR001898,InterPro
Ca_00150,IPR000422,InterPro
Ca_00150,IPR000926,InterPro
Ca_00150,IPR016299,InterPro
Ca_00150,IPR017945,InterPro
Ca_00156,IPR007129,InterPro
Ca_00156,IPR021150,InterPro
Ca_00157,IPR011766,InterPro
Ca_00157,IPR012000,InterPro
Ca_00157,IPR012001,InterPro
Ca_00157,IPR012110,InterPro
Ca_00158,IPR011766,InterPro
Ca_00158,IPR012000,InterPro
Ca_00158,IPR012001,InterPro
Ca_00158,IPR012110,InterPro
Ca_00159,IPR001906,InterPro
Ca_00159,IPR005630,InterPro
Ca_00159,IPR008930,InterPro
Ca_00159,IPR008949,InterPro
Ca_00160,IPR000210,InterPro
Ca_00160,IPR011333,InterPro
Ca_00160,IPR013805,InterPro
Ca_00160,IPR027356,InterPro
Ca_00162,IPR001179,InterPro
Ca_00162,IPR023566,InterPro
Ca_00166,IPR001765,InterPro
Ca_00166,IPR015892,InterPro
Ca_00167,IPR003653,InterPro
Ca_00168,IPR010033,InterPro
Ca_00168,IPR010036,InterPro
Ca_00168,IPR023214,InterPro
Ca_00168,IPR024734,InterPro
Ca_00170,IPR013714,InterPro
Ca_00171,IPR004087,InterPro
Ca_00171,IPR004088,InterPro
Ca_00172,IPR027817,InterPro
Ca_00174,IPR000375,InterPro
Ca_00174,IPR001401,InterPro
Ca_00174,IPR003130,InterPro
Ca_00174,IPR020850,InterPro
Ca_00174,IPR022812,InterPro
Ca_00174,IPR027417,InterPro
Ca_00175,IPR000235,InterPro
Ca_00175,IPR020606,InterPro
Ca_00175,IPR023798,InterPro
Ca_00176,IPR017926,InterPro
Ca_00177,IPR002213,InterPro
Ca_00178,IPR002885,InterPro
Ca_00178,IPR011990,InterPro
Ca_00179,IPR007656,InterPro
Ca_00180,IPR001680,InterPro
Ca_00180,IPR015943,InterPro
Ca_00180,IPR017986,InterPro
Ca_00181,IPR002085,InterPro
Ca_00181,IPR002328,InterPro
Ca_00181,IPR006140,InterPro
Ca_00181,IPR011032,InterPro
Ca_00181,IPR013149,InterPro
Ca_00181,IPR013154,InterPro
Ca_00181,IPR016040,InterPro
Ca_00181,IPR020843,InterPro
Ca_00182,IPR002100,InterPro
Ca_00182,IPR002487,InterPro
Ca_00184,IPR004648,InterPro
Ca_00184,IPR004813,InterPro
Ca_00185,IPR004813,InterPro
Ca_00186,IPR002523,InterPro
Ca_00187,IPR012725,InterPro
Ca_00187,IPR013126,InterPro
Ca_00187,IPR018181,InterPro
Ca_00188,IPR007015,InterPro
Ca_00188,IPR016024,InterPro
Ca_00189,IPR001487,InterPro
Ca_00189,IPR027353,InterPro
Ca_00190,IPR028144,InterPro
Ca_00191,IPR000270,InterPro
Ca_00192,IPR000120,InterPro
Ca_00192,IPR020556,InterPro
Ca_00192,IPR023631,InterPro
Ca_00194,IPR001841,InterPro
Ca_00194,IPR006594,InterPro
Ca_00194,IPR006595,InterPro
Ca_00194,IPR013083,InterPro
Ca_00194,IPR013144,InterPro
Ca_00194,IPR024964,InterPro
Ca_00194,IPR027370,InterPro
Ca_00194,IPR027711,InterPro
Ca_00195,IPR001128,InterPro
Ca_00195,IPR002401,InterPro
Ca_00195,IPR017972,InterPro
Ca_00196,IPR011701,InterPro
Ca_00196,IPR016196,InterPro
Ca_00196,IPR020846,InterPro
Ca_00198,IPR008162,InterPro
Ca_00199,IPR011598,InterPro
Ca_00201,IPR000719,InterPro
Ca_00201,IPR001611,InterPro
Ca_00201,IPR002290,InterPro
Ca_00201,IPR003591,InterPro
Ca_00201,IPR008271,InterPro
Ca_00201,IPR011009,InterPro
Ca_00201,IPR013210,InterPro
Ca_00201,IPR017441,InterPro
Ca_00201,IPR025875,InterPro
Ca_00202,IPR000073,InterPro
Ca_00202,IPR002410,InterPro
Ca_00202,IPR005944,InterPro
Ca_00204,IPR003042,InterPro
Ca_00204,IPR013698,InterPro
Ca_00206,IPR002550,InterPro
Ca_00207,IPR010743,InterPro
Ca_00208,IPR001283,InterPro
Ca_00208,IPR014044,InterPro
Ca_00208,IPR018244,InterPro
Ca_00209,IPR001283,InterPro
Ca_00209,IPR002413,InterPro
Ca_00209,IPR014044,InterPro
Ca_00209,IPR018244,InterPro
Ca_00210,IPR001283,InterPro
Ca_00210,IPR014044,InterPro
Ca_00211,IPR001283,InterPro
Ca_00211,IPR002413,InterPro
Ca_00211,IPR014044,InterPro
Ca_00212,IPR001283,InterPro
Ca_00212,IPR002413,InterPro
Ca_00212,IPR014044,InterPro
Ca_00213,IPR002781,InterPro
Ca_00214,IPR005746,InterPro
Ca_00214,IPR012336,InterPro
Ca_00214,IPR013766,InterPro
Ca_00215,IPR001752,InterPro
Ca_00215,IPR019821,InterPro
Ca_00215,IPR027417,InterPro
Ca_00215,IPR027640,InterPro
Ca_00216,IPR007592,InterPro
Ca_00217,IPR005493,InterPro
Ca_00217,IPR009606,InterPro
Ca_00217,IPR010203,InterPro
Ca_00218,IPR012317,InterPro
Ca_00220,IPR027356,InterPro
Ca_00221,IPR001906,InterPro
Ca_00221,IPR005630,InterPro
Ca_00221,IPR008930,InterPro
Ca_00221,IPR008949,InterPro
Ca_00222,IPR007493,InterPro
Ca_00225,IPR011598,InterPro
Ca_00226,IPR005025,InterPro
Ca_00226,IPR008254,InterPro
Ca_00226,IPR010089,InterPro
Ca_00227,IPR005025,InterPro
Ca_00227,IPR008254,InterPro
Ca_00227,IPR010089,InterPro
Ca_00228,IPR000719,InterPro
Ca_00228,IPR000858,InterPro
Ca_00228,IPR001245,InterPro
Ca_00228,IPR001480,InterPro
Ca_00228,IPR002290,InterPro
Ca_00228,IPR003609,InterPro
Ca_00228,IPR008271,InterPro
Ca_00228,IPR011009,InterPro
Ca_00228,IPR013227,InterPro
Ca_00228,IPR013320,InterPro
Ca_00228,IPR024171,InterPro
Ca_00229,IPR000719,InterPro
Ca_00229,IPR000858,InterPro
Ca_00229,IPR001245,InterPro
Ca_00229,IPR001480,InterPro
Ca_00229,IPR002290,InterPro
Ca_00229,IPR003609,InterPro
Ca_00229,IPR008271,InterPro
Ca_00229,IPR011009,InterPro
Ca_00229,IPR013227,InterPro
Ca_00229,IPR013320,InterPro
Ca_00229,IPR017441,InterPro
Ca_00229,IPR021820,InterPro
Ca_00229,IPR022126,InterPro
Ca_00229,IPR024171,InterPro
Ca_00230,IPR000719,InterPro
Ca_00230,IPR000858,InterPro
Ca_00230,IPR001245,InterPro
Ca_00230,IPR001480,InterPro
Ca_00230,IPR002290,InterPro
Ca_00230,IPR003609,InterPro
Ca_00230,IPR008271,InterPro
Ca_00230,IPR011009,InterPro
Ca_00230,IPR013227,InterPro
Ca_00230,IPR013320,InterPro
Ca_00230,IPR017441,InterPro
Ca_00230,IPR021820,InterPro
Ca_00230,IPR022126,InterPro
Ca_00230,IPR024171,InterPro
Ca_00231,IPR000719,InterPro
Ca_00231,IPR000742,InterPro
Ca_00231,IPR000858,InterPro
Ca_00231,IPR001245,InterPro
Ca_00231,IPR001480,InterPro
Ca_00231,IPR002290,InterPro
Ca_00231,IPR008271,InterPro
Ca_00231,IPR011009,InterPro
Ca_00231,IPR013227,InterPro
Ca_00231,IPR013320,InterPro
Ca_00231,IPR024171,InterPro
Ca_00232,IPR004864,InterPro
Ca_00233,IPR007679,InterPro
Ca_00233,IPR008999,InterPro
Ca_00234,IPR002048,InterPro
Ca_00234,IPR011992,InterPro
Ca_00234,IPR018247,InterPro
Ca_00235,IPR003323,InterPro
Ca_00235,IPR016615,InterPro
Ca_00235,IPR019400,InterPro
Ca_00236,IPR000315,InterPro
Ca_00237,IPR001841,InterPro
Ca_00237,IPR013083,InterPro
Ca_00237,IPR016818,InterPro
Ca_00237,IPR027799,InterPro
Ca_00238,IPR006461,InterPro
Ca_00239,IPR004367,InterPro
Ca_00239,IPR006671,InterPro
Ca_00239,IPR013763,InterPro
Ca_00239,IPR015451,InterPro
Ca_00240,IPR006153,InterPro
Ca_00241,IPR002259,InterPro
Ca_00242,IPR002259,InterPro
Ca_00243,IPR002156,InterPro
Ca_00243,IPR012337,InterPro
Ca_00244,IPR001841,InterPro
Ca_00244,IPR003347,InterPro
Ca_00244,IPR014977,InterPro
Ca_00245,IPR004147,InterPro
Ca_00245,IPR011009,InterPro
Ca_00246,IPR001005,InterPro
Ca_00246,IPR009057,InterPro
Ca_00246,IPR017930,InterPro
Ca_00247,IPR000760,InterPro
Ca_00247,IPR020583,InterPro
Ca_00249,IPR001327,InterPro
Ca_00249,IPR002048,InterPro
Ca_00249,IPR011992,InterPro
Ca_00249,IPR018247,InterPro
Ca_00249,IPR023753,InterPro
Ca_00251,IPR003877,InterPro
Ca_00251,IPR008985,InterPro
Ca_00251,IPR018355,InterPro
Ca_00251,IPR027417,InterPro
Ca_00252,IPR001810,InterPro
Ca_00253,IPR001810,InterPro
Ca_00254,IPR000477,InterPro
Ca_00254,IPR024937,InterPro
Ca_00256,IPR012416,InterPro
Ca_00257,IPR001206,InterPro
Ca_00257,IPR016064,InterPro
Ca_00259,IPR016140,InterPro
Ca_00260,IPR003340,InterPro
Ca_00260,IPR011124,InterPro
Ca_00260,IPR015300,InterPro
Ca_00261,IPR000727,InterPro
Ca_00261,IPR006011,InterPro
Ca_00261,IPR006012,InterPro
Ca_00261,IPR010989,InterPro
Ca_00262,IPR003107,InterPro
Ca_00262,IPR011990,InterPro
Ca_00262,IPR013026,InterPro
Ca_00263,IPR008480,InterPro
Ca_00263,IPR025520,InterPro
Ca_00264,IPR005178,InterPro
Ca_00265,IPR002085,InterPro
Ca_00265,IPR011032,InterPro
Ca_00265,IPR013149,InterPro
Ca_00265,IPR013154,InterPro
Ca_00265,IPR014189,InterPro
Ca_00265,IPR016040,InterPro
Ca_00265,IPR020843,InterPro
Ca_00266,IPR002085,InterPro
Ca_00266,IPR011032,InterPro
Ca_00266,IPR013149,InterPro
Ca_00266,IPR013154,InterPro
Ca_00266,IPR014189,InterPro
Ca_00266,IPR016040,InterPro
Ca_00266,IPR020843,InterPro
Ca_00267,IPR005756,InterPro
Ca_00267,IPR005824,InterPro
Ca_00267,IPR005825,InterPro
Ca_00267,IPR008991,InterPro
Ca_00267,IPR014722,InterPro
Ca_00268,IPR003154,InterPro
Ca_00268,IPR008947,InterPro
Ca_00269,IPR013057,InterPro
Ca_00270,IPR000760,InterPro
Ca_00270,IPR006239,InterPro
Ca_00270,IPR020550,InterPro
Ca_00270,IPR020583,InterPro
Ca_00272,IPR007273,InterPro
Ca_00273,IPR000767,InterPro
Ca_00273,IPR002182,InterPro
Ca_00273,IPR027417,InterPro
Ca_00274,IPR007273,InterPro
Ca_00275,IPR000767,InterPro
Ca_00275,IPR001611,InterPro
Ca_00275,IPR002182,InterPro
Ca_00275,IPR027417,InterPro
Ca_00277,IPR007877,InterPro
Ca_00278,IPR001005,InterPro
Ca_00278,IPR001487,InterPro
Ca_00279,IPR001680,InterPro
Ca_00279,IPR015943,InterPro
Ca_00279,IPR017986,InterPro
Ca_00279,IPR019775,InterPro
Ca_00279,IPR020472,InterPro
Ca_00279,IPR026962,InterPro
Ca_00279,IPR028021,InterPro
Ca_00280,IPR000719,InterPro
Ca_00280,IPR001245,InterPro
Ca_00280,IPR001611,InterPro
Ca_00280,IPR011009,InterPro
Ca_00283,IPR006652,InterPro
Ca_00283,IPR015915,InterPro
Ca_00285,IPR006594,InterPro
Ca_00285,IPR006595,InterPro
Ca_00285,IPR013144,InterPro
Ca_00285,IPR013720,InterPro
Ca_00285,IPR024964,InterPro
Ca_00286,IPR000330,InterPro
Ca_00286,IPR001650,InterPro
Ca_00286,IPR001841,InterPro
Ca_00286,IPR013083,InterPro
Ca_00286,IPR014001,InterPro
Ca_00286,IPR017907,InterPro
Ca_00286,IPR027417,InterPro
Ca_00287,IPR000157,InterPro
Ca_00290,IPR002227,InterPro
Ca_00290,IPR008922,InterPro
Ca_00290,IPR016213,InterPro
Ca_00290,IPR022739,InterPro
Ca_00290,IPR022740,InterPro
Ca_00291,IPR006680,InterPro
Ca_00291,IPR011059,InterPro
Ca_00291,IPR017593,InterPro
Ca_00292,IPR005804,InterPro
Ca_00292,IPR011388,InterPro
Ca_00292,IPR013866,InterPro
Ca_00293,IPR001841,InterPro
Ca_00293,IPR013083,InterPro
Ca_00293,IPR017907,InterPro
Ca_00294,IPR000644,InterPro
Ca_00295,IPR012001,InterPro
Ca_00296,IPR000399,InterPro
Ca_00296,IPR011766,InterPro
Ca_00296,IPR012000,InterPro
Ca_00296,IPR012001,InterPro
Ca_00296,IPR012846,InterPro
Ca_00297,IPR000504,InterPro
Ca_00297,IPR006529,InterPro
Ca_00297,IPR012677,InterPro
Ca_00298,IPR024286,InterPro
Ca_00299,IPR021869,InterPro
Ca_00300,IPR000719,InterPro
Ca_00300,IPR001245,InterPro
Ca_00300,IPR002290,InterPro
Ca_00300,IPR008271,InterPro
Ca_00300,IPR011009,InterPro
Ca_00300,IPR017441,InterPro
Ca_00301,IPR000996,InterPro
Ca_00302,IPR001509,InterPro
Ca_00302,IPR016040,InterPro
Ca_00303,IPR007577,InterPro
Ca_00303,IPR007652,InterPro
Ca_00304,IPR003663,InterPro
Ca_00304,IPR005828,InterPro
Ca_00304,IPR005829,InterPro
Ca_00304,IPR016196,InterPro
Ca_00304,IPR020846,InterPro
Ca_00305,IPR003663,InterPro
Ca_00305,IPR005828,InterPro
Ca_00305,IPR005829,InterPro
Ca_00305,IPR016196,InterPro
Ca_00305,IPR020846,InterPro
Ca_00306,IPR006568,InterPro
Ca_00306,IPR007180,InterPro
Ca_00307,IPR003851,InterPro
Ca_00308,IPR013899,InterPro
Ca_00309,IPR008802,InterPro
Ca_00310,IPR002885,InterPro
Ca_00310,IPR011990,InterPro
Ca_00312,IPR001753,InterPro
Ca_00313,IPR002877,InterPro
Ca_00313,IPR015507,InterPro
Ca_00313,IPR028590,InterPro
Ca_00314,IPR002885,InterPro
Ca_00315,IPR001841,InterPro
Ca_00315,IPR013083,InterPro
Ca_00315,IPR017907,InterPro
Ca_00316,IPR003440,InterPro
Ca_00316,IPR026899,InterPro
Ca_00316,IPR026953,InterPro
Ca_00318,IPR021319,InterPro
Ca_00319,IPR000608,InterPro
Ca_00319,IPR016135,InterPro
Ca_00321,IPR006852,InterPro
Ca_00322,IPR012392,InterPro
Ca_00322,IPR013601,InterPro
Ca_00322,IPR013747,InterPro
Ca_00322,IPR016038,InterPro
Ca_00322,IPR016039,InterPro
Ca_00323,IPR000719,InterPro
Ca_00323,IPR001245,InterPro
Ca_00323,IPR002290,InterPro
Ca_00323,IPR006502,InterPro
Ca_00323,IPR008271,InterPro
Ca_00323,IPR011009,InterPro
Ca_00324,IPR007783,InterPro
Ca_00325,IPR008889,InterPro
Ca_00326,IPR008801,InterPro
Ca_00327,IPR011990,InterPro
Ca_00327,IPR018834,InterPro
Ca_00327,IPR019458,InterPro
Ca_00328,IPR001680,InterPro
Ca_00328,IPR006594,InterPro
Ca_00328,IPR013720,InterPro
